Vivado Simulator 2019.2
Time resolution is 1 ps
Time =                    0, Start = 0, A = 0010, B = 0010, regO = xx, currentPC = 31
Time =                 5000, Start = 0, A = 0010, B = 0010, regO = xx, currentPC =  0
Time =                10000, Start = 1, A = 0010, B = 0010, regO = xx, currentPC =  0
Time =                11000, Start = 0, A = 0010, B = 0010, regO = xx, currentPC =  0
Time =                15000, Start = 0, A = 0010, B = 0010, regO = xx, currentPC =  1
Time =                25000, Start = 0, A = 0010, B = 0010, regO = xx, currentPC =  2
Time =                35000, Start = 0, A = 0010, B = 0010, regO = xx, currentPC =  3
Time =                45000, Start = 0, A = 0010, B = 0010, regO = xx, currentPC =  4
Time =                55000, Start = 0, A = 0010, B = 0010, regO = xx, currentPC =  5
Time =                65000, Start = 0, A = 0010, B = 0010, regO = xx, currentPC =  6
Time =                75000, Start = 0, A = 0010, B = 0010, regO = xx, currentPC =  7
Time =                85000, Start = 0, A = 0010, B = 0010, regO = xx, currentPC =  8
Time =                95000, Start = 0, A = 0010, B = 0010, regO = xx, currentPC =  9
Time =               105000, Start = 0, A = 0010, B = 0010, regO = xx, currentPC = 10
Time =               115000, Start = 0, A = 0010, B = 0010, regO = xx, currentPC = 11
Time =               125000, Start = 0, A = 0010, B = 0010, regO = xx, currentPC = 12
Time =               135000, Start = 0, A = 0010, B = 0010, regO = xx, currentPC = 13
Time =               145000, Start = 0, A = 0010, B = 0010, regO = xx, currentPC = 14
Time =               155000, Start = 0, A = 0010, B = 0010, regO = xx, currentPC = 15
Time =               165000, Start = 0, A = 0010, B = 0010, regO = xx, currentPC = 16
Time =               175000, Start = 0, A = 0010, B = 0010, regO = xx, currentPC = 17
Time =               185000, Start = 0, A = 0010, B = 0010, regO = xx, currentPC = 18
Time =               195000, Start = 0, A = 0010, B = 0010, regO = xx, currentPC = 19
Time =               205000, Start = 0, A = 0010, B = 0010, regO = xx, currentPC = 20
Time =               215000, Start = 0, A = 0010, B = 0010, regO = xx, currentPC = 21
Time =               225000, Start = 0, A = 0010, B = 0010, regO = xx, currentPC = 22
Time =               235000, Start = 0, A = 0010, B = 0010, regO = xx, currentPC = 23
Time =               245000, Start = 0, A = 0010, B = 0010, regO = xx, currentPC = 24
Time =               255000, Start = 0, A = 0010, B = 0010, regO = xx, currentPC = 25
Time =               265000, Start = 0, A = 0010, B = 0010, regO = xx, currentPC = 26
Time =               275000, Start = 0, A = 0010, B = 0010, regO = xx, currentPC = 27
Time =               285000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC = 28
Time =               295000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC = 29
Time =               305000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC = 30
Time =               315000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC = 31
Time =               325000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC =  0
Time =               335000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC =  1
Time =               345000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC =  2
Time =               355000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC =  3
Time =               365000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC =  4
Time =               375000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC =  5
Time =               385000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC =  6
Time =               395000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC =  7
Time =               405000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC =  8
Time =               415000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC =  9
Time =               425000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC = 10
Time =               435000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC = 11
Time =               445000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC = 12
Time =               455000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC = 13
Time =               465000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC = 14
Time =               475000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC = 15
Time =               485000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC = 16
Time =               495000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC = 17
Time =               505000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC = 18
Time =               515000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC = 19
Time =               525000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC = 20
Time =               535000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC = 21
Time =               545000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC = 22
Time =               555000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC = 23
Time =               565000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC = 24
Time =               575000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC = 25
Time =               585000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC = 26
Time =               595000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC = 27
Time =               605000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC = 28
Time =               615000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC = 29
Time =               625000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC = 30
Time =               635000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC = 31
Time =               645000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC =  0
Time =               655000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC =  1
Time =               665000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC =  2
Time =               675000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC =  3
Time =               685000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC =  4
Time =               695000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC =  5
Time =               705000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC =  6
Time =               715000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC =  7
Time =               725000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC =  8
Time =               735000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC =  9
Time =               745000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC = 10
Time =               755000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC = 11
Time =               765000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC = 12
Time =               775000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC = 13
Time =               785000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC = 14
Time =               795000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC = 15
Time =               805000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC = 16
Time =               815000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC = 17
Time =               825000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC = 18
Time =               835000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC = 19
Time =               845000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC = 20
Time =               855000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC = 21
Time =               865000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC = 22
Time =               875000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC = 23
Time =               885000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC = 24
Time =               895000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC = 25
Time =               905000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC = 26
Time =               915000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC = 27
Time =               925000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC = 28
Time =               935000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC = 29
Time =               945000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC = 30
Time =               955000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC = 31
Time =               965000, Start = 0, A = 0010, B = 0010, regO = 00, currentPC =  0
